date,away_team,away_pts,home_team,home_pts,home_win,season
,Toronto Raptors,130,New York Knicks,136,1,2024
,San Antonio Spurs,82,Houston Rockets,93,1,2024
,Dallas Mavericks,120,Memphis Grizzlies,113,0,2024
,Chicago Bulls,129,Milwaukee Bucks,133,1,2024
,Minnesota Timberwolves,107,New Orleans Pelicans,121,1,2024
,Utah Jazz,120,Oklahoma City Thunder,134,1,2024
,Brooklyn Nets,118,Sacramento Kings,131,1,2024
,Portland Trail Blazers,127,Los Angeles Clippers,132,1,2024
,Cleveland Cavaliers,113,Boston Celtics,120,1,2024
,Los Angeles Lakers,125,Dallas Mavericks,127,1,2024
,Denver Nuggets,114,Chicago Bulls,106,0,2024
,Golden State Warriors,116,Phoenix Suns,119,1,2024
,Sacramento Kings,99,Los Angeles Clippers,119,1,2024
,Philadelphia 76ers,129,Detroit Pistons,111,0,2024
,New Orleans Pelicans,142,Washington Wizards,122,0,2024
,Charlotte Hornets,104,Miami Heat,115,1,2024
,Atlanta Hawks,128,Toronto Raptors,135,1,2024
,Memphis Grizzlies,104,Houston Rockets,117,1,2024
,Indiana Pacers,126,Milwaukee Bucks,140,1,2024
,Los Angeles Lakers,122,San Antonio Spurs,119,0,2024
,Brooklyn Nets,116,Phoenix Suns,112,0,2024
,New York Knicks,113,Utah Jazz,117,1,2024
,Cleveland Cavaliers,107,Boston Celtics,116,1,2024
,Chicago Bulls,124,Miami Heat,116,0,2024
,Minnesota Timberwolves,119,Dallas Mavericks,101,0,2024
,Brooklyn Nets,101,Denver Nuggets,124,1,2024
,Utah Jazz,122,Portland Trail Blazers,114,0,2024
,Oklahoma City Thunder,123,Sacramento Kings,128,1,2024
,Golden State Warriors,113,Los Angeles Clippers,121,1,2024
,New Orleans Pelicans,112,Charlotte Hornets,107,0,2024
,Detroit Pistons,92,Philadelphia 76ers,124,1,2024
,Indiana Pacers,123,Washington Wizards,137,1,2024
,Orlando Magic,111,Boston Celtics,128,1,2024
,Los Angeles Lakers,115,San Antonio Spurs,129,1,2024
,Atlanta Hawks,125,Toronto Raptors,104,0,2024
,Houston Rockets,103,Memphis Grizzlies,96,0,2024
,New York Knicks,139,Phoenix Suns,122,0,2024
,Detroit Pistons,114,Milwaukee Bucks,146,1,2024
,Philadelphia 76ers,135,Charlotte Hornets,82,0,2024
,Atlanta Hawks,119,Cleveland Cavaliers,127,1,2024
,Chicago Bulls,116,Miami Heat,118,1,2024
,Indiana Pacers,109,Minnesota Timberwolves,127,1,2024
,Brooklyn Nets,120,Golden State Warriors,124,1,2024
,Oklahoma City Thunder,118,Denver Nuggets,117,0,2024
,Dallas Mavericks,131,Portland Trail Blazers,120,0,2024
,Utah Jazz,104,Sacramento Kings,125,1,2024
,New York Knicks,122,Los Angeles Clippers,144,1,2024
,Orlando Magic,97,Boston Celtics,114,1,2024
,New Orleans Pelicans,146,San Antonio Spurs,110,0,2024
,Houston Rockets,119,Milwaukee Bucks,128,1,2024
,Washington Wizards,108,Phoenix Suns,112,1,2024
,Golden State Warriors,118,Portland Trail Blazers,114,0,2024
,Houston Rockets,130,Cleveland Cavaliers,135,1,2024
,Los Angeles Clippers,151,Indiana Pacers,127,0,2024
,Chicago Bulls,108,Philadelphia 76ers,104,0,2024
,Detroit Pistons,124,Atlanta Hawks,130,1,2024
,Minnesota Timberwolves,112,Miami Heat,108,0,2024
,Charlotte Hornets,99,Toronto Raptors,114,1,2024
,Memphis Grizzlies,97,Oklahoma City Thunder,116,1,2024
,Dallas Mavericks,104,Denver Nuggets,130,1,2024
,Brooklyn Nets,108,Utah Jazz,125,1,2024
,Washington Wizards,131,Sacramento Kings,143,1,2024
,New York Knicks,114,Los Angeles Lakers,109,0,2024
,Memphis Grizzlies,115,New Orleans Pelicans,113,0,2024
,San Antonio Spurs,119,Milwaukee Bucks,132,1,2024
,Boston Celtics,126,Golden State Warriors,132,1,2024
,Phoenix Suns,104,Portland Trail Blazers,109,1,2024
,Utah Jazz,116,Cleveland Cavaliers,124,1,2024
,Charlotte Hornets,113,Indiana Pacers,144,1,2024
,Miami Heat,115,Orlando Magic,106,0,2024
,Minnesota Timberwolves,113,Philadelphia 76ers,127,1,2024
,New York Knicks,121,Brooklyn Nets,102,0,2024
,Denver Nuggets,113,Toronto Raptors,104,0,2024
,Los Angeles Lakers,108,Chicago Bulls,124,1,2024
,Atlanta Hawks,134,Houston Rockets,127,0,2024
,Los Angeles Clippers,120,Dallas Mavericks,111,0,2024
,Boston Celtics,144,Sacramento Kings,119,0,2024
,Utah Jazz,119,Detroit Pistons,111,0,2024
,New Orleans Pelicans,123,Cleveland Cavaliers,104,0,2024
,San Antonio Spurs,95,Chicago Bulls,114,1,2024
,Indiana Pacers,103,Memphis Grizzlies,116,1,2024
,Orlando Magic,114,Milwaukee Bucks,118,1,2024
,Los Angeles Clippers,115,Oklahoma City Thunder,134,1,2024
,Los Angeles Lakers,111,Minnesota Timberwolves,118,1,2024
,Washington Wizards,118,Portland Trail Blazers,117,0,2024
,Toronto Raptors,111,Philadelphia 76ers,121,1,2024
,Denver Nuggets,122,Brooklyn Nets,117,0,2024
,Dallas Mavericks,96,Houston Rockets,122,1,2024
,Atlanta Hawks,113,Miami Heat,122,1,2024
,Washington Wizards,118,Golden State Warriors,129,1,2024
,Phoenix Suns,105,Sacramento Kings,120,1,2024
,Milwaukee Bucks,130,New York Knicks,111,0,2024
,Boston Celtics,145,Los Angeles Clippers,108,0,2024
,Denver Nuggets,102,Charlotte Hornets,95,0,2024
,Orlando Magic,117,Indiana Pacers,110,0,2024
,Houston Rockets,106,New Orleans Pelicans,104,0,2024
,Memphis Grizzlies,125,Atlanta Hawks,119,0,2024
,Detroit Pistons,115,Brooklyn Nets,126,1,2024
,Utah Jazz,126,Toronto Raptors,119,0,2024
,Cleveland Cavaliers,109,Chicago Bulls,95,0,2024
,Los Angeles Lakers,129,Oklahoma City Thunder,120,0,2024
,San Antonio Spurs,119,Dallas Mavericks,144,1,2024
,Portland Trail Blazers,106,Golden State Warriors,126,1,2024
,Minnesota Timberwolves,110,Sacramento Kings,98,0,2024
,Milwaukee Bucks,122,New York Knicks,129,1,2024
,Golden State Warriors,114,Denver Nuggets,120,1,2024
,Boston Celtics,126,Los Angeles Lakers,115,0,2024
,Philadelphia 76ers,113,Miami Heat,119,1,2024
,Dallas Mavericks,128,Phoenix Suns,114,0,2024
,Brooklyn Nets,118,Detroit Pistons,112,0,2024
,Orlando Magic,127,Washington Wizards,119,0,2024
,Atlanta Hawks,113,Chicago Bulls,118,1,2024
,Indiana Pacers,123,Houston Rockets,117,0,2024
,Memphis Grizzlies,116,New Orleans Pelicans,115,0,2024
,Minnesota Timberwolves,106,Oklahoma City Thunder,129,1,2024
,Utah Jazz,130,San Antonio Spurs,118,0,2024
,Sacramento Kings,113,Portland Trail Blazers,130,1,2024
,Charlotte Hornets,104,Los Angeles Clippers,113,1,2024
,Philadelphia 76ers,112,Orlando Magic,92,0,2024
,Toronto Raptors,132,Washington Wizards,102,0,2024
,Milwaukee Bucks,144,Brooklyn Nets,122,0,2024
,Phoenix Suns,129,Houston Rockets,113,0,2024
,New York Knicks,120,Oklahoma City Thunder,129,1,2024
,Cleveland Cavaliers,113,Dallas Mavericks,110,0,2024
,Detroit Pistons,122,Boston Celtics,128,1,2024
,Indiana Pacers,120,Chicago Bulls,104,0,2024
,Dallas Mavericks,110,Minnesota Timberwolves,118,1,2024
,Utah Jazz,105,New Orleans Pelicans,112,1,2024
,Memphis Grizzlies,105,Denver Nuggets,142,1,2024
,Miami Heat,114,Golden State Warriors,102,0,2024
,San Antonio Spurs,118,Portland Trail Blazers,105,0,2024
,Charlotte Hornets,112,Los Angeles Lakers,133,1,2024
,New York Knicks,108,Orlando Magic,117,1,2024
,Brooklyn Nets,104,Washington Wizards,110,1,2024
,Sacramento Kings,117,Atlanta Hawks,110,0,2024
,Toronto Raptors,118,Boston Celtics,120,1,2024
,Milwaukee Bucks,119,Cleveland Cavaliers,111,0,2024
,Philadelphia 76ers,131,Houston Rockets,127,0,2024
,Oklahoma City Thunder,119,Denver Nuggets,93,0,2024
,Charlotte Hornets,119,Phoenix Suns,133,1,2024
,San Antonio Spurs,128,Portland Trail Blazers,134,1,2024
,Memphis Grizzlies,106,Los Angeles Clippers,117,1,2024
,Miami Heat,109,Utah Jazz,117,1,2024
,Toronto Raptors,127,Detroit Pistons,129,1,2024
,New York Knicks,126,Indiana Pacers,140,1,2024
,Philadelphia 76ers,92,Chicago Bulls,105,1,2024
,Los Angeles Lakers,106,Minnesota Timberwolves,108,1,2024
,Dallas Mavericks,132,Golden State Warriors,122,0,2024
,Atlanta Hawks,130,Washington Wizards,126,0,2024
,Los Angeles Lakers,109,New Orleans Pelicans,129,1,2024
,Brooklyn Nets,108,Oklahoma City Thunder,124,1,2024
,Boston Celtics,134,San Antonio Spurs,101,0,2024
,Sacramento Kings,123,Memphis Grizzlies,92,0,2024
,Orlando Magic,107,Phoenix Suns,112,1,2024
,Minnesota Timberwolves,106,New York Knicks,112,1,2024
,Cleveland Cavaliers,121,Toronto Raptors,124,1,2024
,Detroit Pistons,113,Houston Rockets,136,1,2024
,Indiana Pacers,122,Milwaukee Bucks,113,0,2024
,Charlotte Hornets,93,Denver Nuggets,111,1,2024
,Portland Trail Blazers,88,Phoenix Suns,109,1,2024
,Dallas Mavericks,90,Utah Jazz,127,1,2024
,Miami Heat,104,Los Angeles Clippers,121,1,2024
,Chicago Bulls,97,Philadelphia 76ers,110,1,2024
,San Antonio Spurs,98,Memphis Grizzlies,106,1,2024
,Brooklyn Nets,85,New Orleans Pelicans,112,1,2024
,Boston Celtics,123,Oklahoma City Thunder,127,1,2024
,Orlando Magic,115,Golden State Warriors,121,1,2024
,Charlotte Hornets,111,Sacramento Kings,104,0,2024
,Washington Wizards,101,Cleveland Cavaliers,140,1,2024
,Milwaukee Bucks,130,Indiana Pacers,142,1,2024
,Oklahoma City Thunder,138,Atlanta Hawks,141,1,2024
,Brooklyn Nets,101,Houston Rockets,112,1,2024
,Toronto Raptors,116,Memphis Grizzlies,111,0,2024
,New Orleans Pelicans,117,Minnesota Timberwolves,106,0,2024
,Portland Trail Blazers,97,Dallas Mavericks,126,1,2024
,Chicago Bulls,100,New York Knicks,116,1,2024
,Los Angeles Clippers,131,Phoenix Suns,122,0,2024
,Detroit Pistons,148,Utah Jazz,154,1,2024
,Miami Heat,110,Los Angeles Lakers,96,0,2024
,Orlando Magic,135,Sacramento Kings,138,1,2024
,Milwaukee Bucks,125,San Antonio Spurs,121,0,2024
,Denver Nuggets,130,Golden State Warriors,127,0,2024
,Utah Jazz,97,Boston Celtics,126,1,2024
,Atlanta Hawks,116,Indiana Pacers,150,1,2024
,Oklahoma City Thunder,115,Brooklyn Nets,124,1,2024
,Washington Wizards,90,Cleveland Cavaliers,114,1,2024
,New York Knicks,128,Philadelphia 76ers,92,0,2024
,Charlotte Hornets,91,Chicago Bulls,104,1,2024
,Minnesota Timberwolves,122,Houston Rockets,95,0,2024
,Los Angeles Clippers,111,New Orleans Pelicans,95,0,2024
,Portland Trail Blazers,103,Dallas Mavericks,139,1,2024
,Orlando Magic,122,Denver Nuggets,120,0,2024
,Miami Heat,97,Phoenix Suns,113,1,2024
,Detroit Pistons,109,Golden State Warriors,113,1,2024
,Memphis Grizzlies,127,Los Angeles Lakers,113,0,2024
,Toronto Raptors,130,Sacramento Kings,135,1,2024
,Boston Celtics,118,Indiana Pacers,101,0,2024
,New York Knicks,121,Washington Wizards,105,0,2024
,Utah Jazz,120,Philadelphia 76ers,109,0,2024
,Milwaukee Bucks,108,Houston Rockets,112,1,2024
,San Antonio Spurs,115,Cleveland Cavaliers,117,1,2024
,Portland Trail Blazers,134,Brooklyn Nets,127,0,2024
,Atlanta Hawks,110,Orlando Magic,117,1,2024
,New Orleans Pelicans,133,Sacramento Kings,100,0,2024
,Minnesota Timberwolves,108,Dallas Mavericks,115,1,2024
,Detroit Pistons,114,Denver Nuggets,131,1,2024
,Memphis Grizzlies,121,Phoenix Suns,115,0,2024
,Toronto Raptors,133,Golden State Warriors,118,0,2024
,Los Angeles Clippers,103,Los Angeles Lakers,106,1,2024
,Chicago Bulls,119,Charlotte Hornets,112,0,2024
,Boston Celtics,131,Indiana Pacers,133,1,2024
,Oklahoma City Thunder,136,Washington Wizards,128,0,2024
,Houston Rockets,113,Miami Heat,120,1,2024
,Utah Jazz,132,Milwaukee Bucks,116,0,2024
,Phoenix Suns,111,Los Angeles Clippers,138,1,2024
,Sacramento Kings,131,Detroit Pistons,110,0,2024
,Minnesota Timberwolves,113,Orlando Magic,92,0,2024
,Portland Trail Blazers,84,New York Knicks,112,1,2024
,Memphis Grizzlies,120,Dallas Mavericks,103,0,2024
,Toronto Raptors,131,Los Angeles Lakers,132,1,2024
,Minnesota Timberwolves,120,Boston Celtics,127,1,2024
,Sacramento Kings,123,Charlotte Hornets,98,0,2024
,San Antonio Spurs,130,Detroit Pistons,108,0,2024
,Washington Wizards,104,Indiana Pacers,112,1,2024
,Philadelphia 76ers,132,Atlanta Hawks,139,1,2024
,Oklahoma City Thunder,128,Miami Heat,120,0,2024
,Houston Rockets,119,Chicago Bulls,124,1,2024
,New Orleans Pelicans,141,Golden State Warriors,105,0,2024
,Denver Nuggets,111,Utah Jazz,124,1,2024
,Toronto Raptors,120,Los Angeles Clippers,126,1,2024
,Brooklyn Nets,102,Cleveland Cavaliers,111,1,2024
,Boston Celtics,102,Milwaukee Bucks,135,1,2024
,Portland Trail Blazers,77,Oklahoma City Thunder,139,1,2024
,New York Knicks,124,Dallas Mavericks,128,1,2024
,Phoenix Suns,127,Los Angeles Lakers,109,0,2024
,Indiana Pacers,126,Atlanta Hawks,108,0,2024
,Houston Rockets,112,Detroit Pistons,110,0,2024
,Sacramento Kings,93,Philadelphia 76ers,112,1,2024
,Golden State Warriors,140,Chicago Bulls,131,0,2024
,Los Angeles Clippers,128,Memphis Grizzlies,119,0,2024
,Orlando Magic,96,Miami Heat,99,1,2024
,Portland Trail Blazers,93,Minnesota Timberwolves,116,1,2024
,Charlotte Hornets,99,San Antonio Spurs,135,1,2024
,Toronto Raptors,113,Utah Jazz,145,1,2024
,New Orleans Pelicans,113,Denver Nuggets,125,1,2024
,Houston Rockets,113,Boston Celtics,145,1,2024
,Washington Wizards,127,Atlanta Hawks,99,0,2024
,New York Knicks,106,Memphis Grizzlies,94,0,2024
,Golden State Warriors,118,Milwaukee Bucks,129,1,2024
,Orlando Magic,100,Oklahoma City Thunder,112,1,2024
,New Orleans Pelicans,118,Dallas Mavericks,108,0,2024
,Chicago Bulls,122,San Antonio Spurs,116,0,2024
,Los Angeles Lakers,125,Utah Jazz,132,1,2024
,Indiana Pacers,109,Denver Nuggets,117,1,2024
,Charlotte Hornets,87,Miami Heat,104,1,2024
,Sacramento Kings,142,Milwaukee Bucks,143,1,2024
,Los Angeles Clippers,105,Minnesota Timberwolves,109,1,2024
,Phoenix Suns,127,Portland Trail Blazers,116,0,2024
,Houston Rockets,115,Philadelphia 76ers,124,1,2024
,New Orleans Pelicans,120,Dallas Mavericks,125,1,2024
,Orlando Magic,98,New York Knicks,94,0,2024
,Detroit Pistons,129,Washington Wizards,117,0,2024
,San Antonio Spurs,99,Atlanta Hawks,109,1,2024
,Golden State Warriors,107,Memphis Grizzlies,116,1,2024
,Chicago Bulls,91,Cleveland Cavaliers,109,1,2024
,Miami Heat,96,Brooklyn Nets,95,0,2024
,Boston Celtics,105,Toronto Raptors,96,0,2024
,Indiana Pacers,105,Utah Jazz,132,1,2024
,Oklahoma City Thunder,105,Los Angeles Lakers,112,1,2024
,Denver Nuggets,121,Philadelphia 76ers,126,1,2024
,Sacramento Kings,117,Phoenix Suns,119,1,2024
,Oklahoma City Thunder,117,Los Angeles Clippers,128,1,2024
,Minnesota Timberwolves,124,Detroit Pistons,117,0,2024
,Orlando Magic,104,Atlanta Hawks,106,1,2024
,San Antonio Spurs,98,Boston Celtics,117,1,2024
,Milwaukee Bucks,95,Cleveland Cavaliers,135,1,2024
,Houston Rockets,94,New York Knicks,109,1,2024
,Miami Heat,97,Toronto Raptors,121,1,2024
,Charlotte Hornets,112,New Orleans Pelicans,132,1,2024
,Dallas Mavericks,110,Los Angeles Lakers,127,1,2024
,Brooklyn Nets,103,Portland Trail Blazers,105,1,2024
,Washington Wizards,109,New York Knicks,113,1,2024
,Chicago Bulls,116,Toronto Raptors,110,0,2024
,Oklahoma City Thunder,134,Utah Jazz,129,0,2024
,Memphis Grizzlies,103,Minnesota Timberwolves,118,1,2024
,Indiana Pacers,126,Sacramento Kings,121,0,2024
,San Antonio Spurs,120,Charlotte Hornets,124,1,2024
,Philadelphia 76ers,124,Orlando Magic,109,0,2024
,Denver Nuggets,102,Boston Celtics,100,0,2024
,Atlanta Hawks,109,Miami Heat,108,0,2024
,Phoenix Suns,123,New Orleans Pelicans,109,0,2024
,Indiana Pacers,115,Portland Trail Blazers,118,1,2024
,Brooklyn Nets,130,Los Angeles Lakers,112,0,2024
,Milwaukee Bucks,141,Detroit Pistons,135,0,2024
,Philadelphia 76ers,97,Charlotte Hornets,89,0,2024
,San Antonio Spurs,131,Washington Wizards,127,0,2024
,Cleveland Cavaliers,116,Atlanta Hawks,95,0,2024
,Toronto Raptors,100,New York Knicks,126,1,2024
,Memphis Grizzlies,96,Chicago Bulls,125,1,2024
,Utah Jazz,126,Houston Rockets,127,1,2024
,Oklahoma City Thunder,102,Minnesota Timberwolves,97,0,2024
,Brooklyn Nets,114,Los Angeles Clippers,125,1,2024
,Miami Heat,87,Orlando Magic,105,1,2024
,Denver Nuggets,113,Washington Wizards,104,0,2024
,Boston Celtics,116,Houston Rockets,107,0,2024
,Indiana Pacers,110,Phoenix Suns,117,1,2024
,Portland Trail Blazers,110,Los Angeles Lakers,134,1,2024
,Milwaukee Bucks,122,Detroit Pistons,113,0,2024
,Cleveland Cavaliers,126,Orlando Magic,99,0,2024
,San Antonio Spurs,123,Philadelphia 76ers,133,1,2024
,Memphis Grizzlies,108,Toronto Raptors,100,0,2024
,Charlotte Hornets,128,Minnesota Timberwolves,125,0,2024
,Boston Celtics,119,Dallas Mavericks,110,0,2024
,Chicago Bulls,113,Phoenix Suns,115,1,2024
,Atlanta Hawks,107,Sacramento Kings,122,1,2024
,Denver Nuggets,114,Indiana Pacers,109,0,2024
,New York Knicks,108,Brooklyn Nets,103,0,2024
,Utah Jazz,124,New Orleans Pelicans,153,1,2024
,Portland Trail Blazers,109,Oklahoma City Thunder,111,1,2024
,Los Angeles Lakers,116,Los Angeles Clippers,127,1,2024
,Charlotte Hornets,106,Detroit Pistons,113,1,2024
,Minnesota Timberwolves,118,Washington Wizards,107,0,2024
,Memphis Grizzlies,105,Miami Heat,96,0,2024
,Portland Trail Blazers,137,Houston Rockets,131,0,2024
,Cleveland Cavaliers,116,Milwaukee Bucks,126,1,2024
,Phoenix Suns,132,Dallas Mavericks,109,0,2024
,Oklahoma City Thunder,140,San Antonio Spurs,114,0,2024
,Atlanta Hawks,112,Golden State Warriors,134,1,2024
,Philadelphia 76ers,122,Indiana Pacers,134,1,2024
,Utah Jazz,123,Washington Wizards,108,0,2024
,Minnesota Timberwolves,96,Brooklyn Nets,94,0,2024
,Boston Celtics,143,Miami Heat,110,0,2024
,Denver Nuggets,84,New York Knicks,122,1,2024
,Sacramento Kings,134,Golden State Warriors,133,0,2024
,Chicago Bulls,132,Los Angeles Lakers,141,1,2024
,Dallas Mavericks,148,Atlanta Hawks,143,0,2024
,Houston Rockets,138,Charlotte Hornets,104,0,2024
,Phoenix Suns,131,Indiana Pacers,133,1,2024
,Los Angeles Clippers,127,Toronto Raptors,107,0,2024
,Orlando Magic,106,Memphis Grizzlies,107,1,2024
,Cleveland Cavaliers,112,Milwaukee Bucks,100,0,2024
,Oklahoma City Thunder,107,New Orleans Pelicans,83,0,2024
,Portland Trail Blazers,100,San Antonio Spurs,116,1,2024
,Washington Wizards,118,Detroit Pistons,104,0,2024
,Miami Heat,109,New York Knicks,125,1,2024
,Philadelphia 76ers,105,Denver Nuggets,111,1,2024
,Houston Rockets,104,Brooklyn Nets,106,1,2024
,Los Angeles Clippers,115,Boston Celtics,96,0,2024
,Utah Jazz,134,Charlotte Hornets,122,0,2024
,New Orleans Pelicans,117,Milwaukee Bucks,141,1,2024
,Los Angeles Lakers,145,Golden State Warriors,144,0,2024
,Minnesota Timberwolves,112,San Antonio Spurs,113,1,2024
,Sacramento Kings,120,Dallas Mavericks,115,0,2024
,Oklahoma City Thunder,104,Detroit Pistons,120,1,2024
,Memphis Grizzlies,110,Indiana Pacers,116,1,2024
,Toronto Raptors,125,Atlanta Hawks,126,1,2024
,Phoenix Suns,98,Orlando Magic,113,1,2024
,Chicago Bulls,104,Portland Trail Blazers,96,0,2024
,New York Knicks,113,Charlotte Hornets,92,0,2024
,Los Angeles Clippers,108,Cleveland Cavaliers,118,1,2024
,New Orleans Pelicans,112,Boston Celtics,118,1,2024
,Utah Jazz,114,Brooklyn Nets,147,1,2024
,Phoenix Suns,118,Miami Heat,105,0,2024
,Los Angeles Lakers,119,Houston Rockets,135,1,2024
,Sacramento Kings,103,Memphis Grizzlies,94,0,2024
,Minnesota Timberwolves,107,Oklahoma City Thunder,101,0,2024
,Washington Wizards,118,San Antonio Spurs,113,0,2024
,Orlando Magic,129,Dallas Mavericks,131,1,2024
,Milwaukee Bucks,107,Denver Nuggets,113,1,2024
,Philadelphia 76ers,104,Portland Trail Blazers,130,1,2024
,Los Angeles Lakers,122,Atlanta Hawks,138,1,2024
,Indiana Pacers,124,Boston Celtics,129,1,2024
,Utah Jazz,103,New York Knicks,118,1,2024
,Toronto Raptors,118,Chicago Bulls,107,0,2024
,Philadelphia 76ers,107,Golden State Warriors,119,1,2024
,Chicago Bulls,117,Charlotte Hornets,110,0,2024
,Detroit Pistons,121,Cleveland Cavaliers,128,1,2024
,Los Angeles Clippers,125,Washington Wizards,109,0,2024
,Sacramento Kings,106,Miami Heat,115,1,2024
,New Orleans Pelicans,110,Houston Rockets,99,0,2024
,Dallas Mavericks,87,Minnesota Timberwolves,121,1,2024
,Denver Nuggets,100,Oklahoma City Thunder,105,1,2024
,Orlando Magic,108,San Antonio Spurs,98,0,2024
,Phoenix Suns,136,Brooklyn Nets,120,0,2024
,Milwaukee Bucks,116,Portland Trail Blazers,119,1,2024
,Los Angeles Lakers,114,Boston Celtics,105,0,2024
,Indiana Pacers,105,New York Knicks,109,1,2024
,Cleveland Cavaliers,108,Memphis Grizzlies,101,0,2024
,Philadelphia 76ers,127,Utah Jazz,124,0,2024
,Los Angeles Clippers,136,Detroit Pistons,125,0,2024
,Miami Heat,110,Washington Wizards,102,0,2024
,Phoenix Suns,120,Atlanta Hawks,129,1,2024
,Sacramento Kings,133,Indiana Pacers,122,0,2024
,Toronto Raptors,106,Houston Rockets,135,1,2024
,Golden State Warriors,121,Memphis Grizzlies,101,0,2024
,Orlando Magic,108,Minnesota Timberwolves,106,0,2024
,Charlotte Hornets,106,Oklahoma City Thunder,126,1,2024
,New Orleans Pelicans,114,San Antonio Spurs,113,0,2024
,Portland Trail Blazers,108,Denver Nuggets,120,1,2024
,Brooklyn Nets,136,Philadelphia 76ers,121,0,2024
,Golden State Warriors,134,Atlanta Hawks,141,1,2024
,Sacramento Kings,123,Chicago Bulls,115,0,2024
,Milwaukee Bucks,129,Dallas Mavericks,117,0,2024
,Los Angeles Lakers,113,New York Knicks,105,0,2024
,Cleveland Cavaliers,117,San Antonio Spurs,101,0,2024
,Orlando Magic,111,Detroit Pistons,99,0,2024
,Phoenix Suns,140,Washington Wizards,112,0,2024
,Memphis Grizzlies,91,Boston Celtics,131,1,2024
,Indiana Pacers,115,Charlotte Hornets,99,0,2024
,Los Angeles Clippers,103,Miami Heat,95,0,2024
,Houston Rockets,90,Minnesota Timberwolves,111,1,2024
,Toronto Raptors,127,Oklahoma City Thunder,135,1,2024
,Milwaukee Bucks,108,Utah Jazz,123,1,2024
,Portland Trail Blazers,103,Denver Nuggets,112,1,2024
,Los Angeles Lakers,124,Charlotte Hornets,118,0,2024
,Sacramento Kings,110,Cleveland Cavaliers,136,1,2024
,Dallas Mavericks,118,Philadelphia 76ers,102,0,2024
,Los Angeles Clippers,149,Atlanta Hawks,144,0,2024
,Golden State Warriors,109,Brooklyn Nets,98,0,2024
,Toronto Raptors,100,New Orleans Pelicans,138,1,2024
,Houston Rockets,129,Indiana Pacers,132,1,2024
,Dallas Mavericks,119,Brooklyn Nets,107,0,2024
,Orlando Magic,95,Miami Heat,121,1,2024
,Memphis Grizzlies,113,New York Knicks,123,1,2024
,Minnesota Timberwolves,123,Chicago Bulls,129,1,2024
,Oklahoma City Thunder,117,Utah Jazz,124,1,2024
,Milwaukee Bucks,106,Phoenix Suns,114,1,2024
,Toronto Raptors,123,Charlotte Hornets,117,0,2024
,Cleveland Cavaliers,114,Washington Wizards,106,0,2024
,Atlanta Hawks,117,Boston Celtics,125,1,2024
,San Antonio Spurs,104,Miami Heat,116,1,2024
,Golden State Warriors,127,Philadelphia 76ers,104,0,2024
,New Orleans Pelicans,117,Los Angeles Clippers,106,0,2024
,Detroit Pistons,133,Sacramento Kings,120,0,2024
,Golden State Warriors,131,Indiana Pacers,109,0,2024
,San Antonio Spurs,111,Orlando Magic,127,1,2024
,Cleveland Cavaliers,118,Brooklyn Nets,95,0,2024
,Dallas Mavericks,122,New York Knicks,108,0,2024
,Chicago Bulls,118,Memphis Grizzlies,110,0,2024
,Minnesota Timberwolves,129,Milwaukee Bucks,105,0,2024
,Utah Jazz,115,Phoenix Suns,129,1,2024
,Denver Nuggets,114,Los Angeles Lakers,106,0,2024
,Detroit Pistons,128,Portland Trail Blazers,122,0,2024
,Atlanta Hawks,127,Philadelphia 76ers,121,0,2024
,Washington Wizards,129,Boston Celtics,133,1,2024
,Houston Rockets,104,Toronto Raptors,107,1,2024
,Charlotte Hornets,84,Milwaukee Bucks,120,1,2024
,Denver Nuggets,106,Sacramento Kings,135,1,2024
,New Orleans Pelicans,122,Los Angeles Lakers,139,1,2024
,Oklahoma City Thunder,111,Dallas Mavericks,146,1,2024
,Detroit Pistons,106,Los Angeles Clippers,112,1,2024
,San Antonio Spurs,103,Brooklyn Nets,123,1,2024
,Memphis Grizzlies,106,Charlotte Hornets,115,1,2024
,Chicago Bulls,108,Orlando Magic,114,1,2024
,Philadelphia 76ers,119,Washington Wizards,113,0,2024
,Houston Rockets,113,Atlanta Hawks,122,1,2024
,Indiana Pacers,125,New York Knicks,111,0,2024
,Cleveland Cavaliers,119,Toronto Raptors,95,0,2024
,Phoenix Suns,112,Golden State Warriors,113,1,2024
,New Orleans Pelicans,93,Portland Trail Blazers,84,0,2024
,Boston Celtics,110,Miami Heat,106,0,2024
,Sacramento Kings,113,Oklahoma City Thunder,127,1,2024
,Indiana Pacers,102,Charlotte Hornets,111,1,2024
,Philadelphia 76ers,123,Cleveland Cavaliers,121,0,2024
,Chicago Bulls,136,Atlanta Hawks,126,0,2024
,San Antonio Spurs,122,Toronto Raptors,99,0,2024
,New York Knicks,103,Houston Rockets,105,1,2024
,New Orleans Pelicans,96,Memphis Grizzlies,87,0,2024
,Denver Nuggets,95,Milwaukee Bucks,112,1,2024
,Washington Wizards,104,Dallas Mavericks,112,1,2024
,Golden State Warriors,129,Utah Jazz,107,0,2024
,Minnesota Timberwolves,121,Los Angeles Clippers,100,0,2024
,Boston Celtics,118,Brooklyn Nets,110,0,2024
,Oklahoma City Thunder,127,Orlando Magic,113,0,2024
,Miami Heat,123,Milwaukee Bucks,97,0,2024
,Sacramento Kings,125,Phoenix Suns,130,1,2024
,Minnesota Timberwolves,121,Portland Trail Blazers,109,0,2024
