date,away_team,away_pts,home_team,home_pts,home_win,season
,Miami Heat,100,Washington Wizards,103,1,2022
,Charlotte Hornets,105,Atlanta Hawks,115,1,2022
,Oklahoma City Thunder,105,Boston Celtics,111,1,2022
,Orlando Magic,108,Milwaukee Bucks,117,1,2022
,Memphis Grizzlies,95,Minnesota Timberwolves,138,1,2022
,Philadelphia 76ers,111,Portland Trail Blazers,118,1,2022
,Utah Jazz,123,Sacramento Kings,105,0,2022
,Dallas Mavericks,91,Los Angeles Clippers,97,1,2022
,Los Angeles Lakers,121,Detroit Pistons,116,0,2022
,New York Knicks,103,Chicago Bulls,109,1,2022
,Denver Nuggets,97,Phoenix Suns,126,1,2022
,Toronto Raptors,104,Golden State Warriors,119,1,2022
,Brooklyn Nets,117,Cleveland Cavaliers,112,0,2022
,Charlotte Hornets,109,Washington Wizards,103,0,2022
,Oklahoma City Thunder,101,Atlanta Hawks,113,1,2022
,Houston Rockets,90,Boston Celtics,108,1,2022
,Indiana Pacers,109,Chicago Bulls,77,0,2022
,Orlando Magic,92,Milwaukee Bucks,123,1,2022
,Minnesota Timberwolves,110,New Orleans Pelicans,96,0,2022
,Phoenix Suns,115,San Antonio Spurs,111,0,2022
,Memphis Grizzlies,119,Utah Jazz,118,0,2022
,Philadelphia 76ers,102,Sacramento Kings,94,0,2022
,Miami Heat,100,Detroit Pistons,92,0,2022
,Los Angeles Lakers,100,New York Knicks,106,1,2022
,Denver Nuggets,100,Portland Trail Blazers,119,1,2022
,Dallas Mavericks,112,Los Angeles Clippers,104,0,2022
,Phoenix Suns,120,Cleveland Cavaliers,115,0,2022
,Los Angeles Lakers,124,Indiana Pacers,116,0,2022
,Charlotte Hornets,106,Orlando Magic,99,0,2022
,Brooklyn Nets,123,Boston Celtics,104,0,2022
,Chicago Bulls,113,Houston Rockets,118,1,2022
,Toronto Raptors,126,Memphis Grizzlies,113,0,2022
,Detroit Pistons,93,Milwaukee Bucks,114,1,2022
,Miami Heat,101,Minnesota Timberwolves,113,1,2022
,Washington Wizards,102,New Orleans Pelicans,127,1,2022
,Utah Jazz,110,Oklahoma City Thunder,104,0,2022
,Atlanta Hawks,124,San Antonio Spurs,106,0,2022
,Philadelphia 76ers,96,Golden State Warriors,116,1,2022
,Portland Trail Blazers,121,Sacramento Kings,125,1,2022
,Detroit Pistons,96,Los Angeles Clippers,107,1,2022
,Minnesota Timberwolves,115,Charlotte Hornets,133,1,2022
,Phoenix Suns,118,New York Knicks,97,0,2022
,Chicago Bulls,123,Orlando Magic,88,0,2022
,Toronto Raptors,97,Indiana Pacers,114,1,2022
,Atlanta Hawks,132,Memphis Grizzlies,100,0,2022
,Washington Wizards,101,Oklahoma City Thunder,99,0,2022
,Boston Celtics,88,San Antonio Spurs,96,1,2022
,Milwaukee Bucks,120,Denver Nuggets,109,0,2022
,New Orleans Pelicans,98,Utah Jazz,97,0,2022
,Portland Trail Blazers,103,Golden State Warriors,118,1,2022
,Sacramento Kings,141,Los Angeles Lakers,137,0,2022
,Minnesota Timberwolves,121,Philadelphia 76ers,120,0,2022
,New York Knicks,99,Atlanta Hawks,90,0,2022
,Phoenix Suns,113,Brooklyn Nets,107,0,2022
,Miami Heat,107,Chicago Bulls,104,0,2022
,Orlando Magic,92,Cleveland Cavaliers,105,1,2022
,Charlotte Hornets,143,Houston Rockets,146,1,2022
,Washington Wizards,120,Dallas Mavericks,114,0,2022
,New Orleans Pelicans,105,Utah Jazz,127,1,2022
